line_idx,timestamp,dot_x,dot_y,gaze_x,gaze_y
6,1764110082.4457972,1169.2298321723938,735.0,1078.0,575.0
6,1764110082.4826028,1174.0200786590576,735.0,1126.0,569.0
6,1764110082.522089,1181.2606840133667,735.0,1137.0,600.0
6,1764110082.555718,1186.1538915634155,735.0,1134.0,608.0
6,1764110082.5915375,1190.9323363304138,735.0,1136.0,601.0
6,1764110082.634708,1198.0351119041443,735.0,1135.0,582.0
6,1764110082.6769838,1202.8187065124512,735.0,1134.0,575.0
6,1764110082.7022195,1207.6354532241821,735.0,1150.0,583.0
6,1764110082.7268026,1212.4838500022888,735.0,1175.0,587.0
6,1764110082.7576146,1214.8378639221191,735.0,1175.0,589.0
6,1764110082.7943099,1222.1204190254211,735.0,1184.0,591.0
6,1764110082.8271878,1226.847758769989,735.0,1182.0,593.0
6,1764110082.8577564,1231.6507368087769,735.0,1180.0,588.0
6,1764110082.8917181,1236.564007282257,735.0,1180.0,593.0
6,1764110082.9220972,1241.2449626922607,735.0,1180.0,604.0
6,1764110082.9544692,1246.1543350219727,735.0,1158.0,606.0
6,1764110082.9774175,1248.4231977462769,735.0,1165.0,602.0
6,1764110083.0126712,1253.2925872802734,735.0,1251.0,596.0
6,1764110083.0415945,1258.0731778144836,735.0,1248.0,617.0
6,1764110083.0669882,1262.8960757255554,735.0,1244.0,634.0
6,1764110083.1018674,1267.8138523101807,735.0,1248.0,634.0
6,1764110083.1372707,1272.5420861244202,735.0,1254.0,629.0
6,1764110083.1800704,1279.6939640045166,735.0,1264.0,632.0
6,1764110083.2218602,1284.4122915267944,735.0,1277.0,642.0
6,1764110083.2432919,1289.3233804702759,735.0,1286.0,650.0
6,1764110083.2774518,1294.0493969917297,735.0,1279.0,647.0
6,1764110083.3071377,1298.8935379981995,735.0,1220.0,632.0
6,1764110083.3465781,1303.6815671920776,735.0,1216.0,611.0
6,1764110083.3869686,1310.8231811523438,735.0,1204.0,594.0
6,1764110083.4118688,1313.2253675460815,735.0,1205.0,587.0
6,1764110083.4421015,1318.0363564491272,735.0,1196.0,588.0
6,1764110083.4864988,1325.327995300293,735.0,1208.0,588.0
6,1764110083.5265555,1332.446792602539,735.0,1213.0,587.0
6,1764110083.566865,1337.280276298523,735.0,1293.0,581.0
6,1764110083.6019397,1342.0475273132324,735.0,1299.0,586.0
6,1764110083.637444,1346.8481450080872,735.0,1293.0,590.0
6,1764110083.662134,1351.6321687698364,735.0,1290.0,587.0
6,1764110083.7023902,1356.4892201423645,735.0,1288.0,585.0
6,1764110083.7415533,1363.6300115585327,735.0,1285.0,593.0
6,1764110083.762107,1366.1563663482666,735.0,1282.0,607.0
6,1764110083.7967854,1370.8943634033203,735.0,1287.0,611.0
6,1764110083.826629,1375.7787017822266,735.0,1295.0,613.0
6,1764110083.8565202,1380.521562576294,735.0,1302.0,613.0
6,1764110083.8874252,1385.2666764259338,735.0,1291.0,619.0
6,1764110083.9321518,1392.4479513168335,735.0,1288.0,607.0
6,1764110083.9721246,1397.3004608154297,735.0,1276.0,600.0
6,1764110084.001904,1402.0701079368591,735.0,1286.0,588.0
6,1764110084.031752,1406.8501620292664,735.0,1291.0,582.0
6,1764110084.0675445,1411.6048245429993,735.0,1294.0,576.0
6,1764110084.0972512,1416.4952425956726,735.0,1295.0,559.0
6,1764110084.1278899,1421.2491540908813,735.0,1291.0,552.0
6,1764110084.156668,1426.0611085891724,735.0,1291.0,558.0
6,1764110084.187211,1430.8677344322205,735.0,1299.0,579.0
6,1764110084.2139308,1433.2826881408691,735.0,1303.0,599.0
6,1764110084.2422884,1438.034203529358,735.0,1322.0,609.0
6,1764110084.2768428,1442.9491548538208,735.0,1332.0,614.0
6,1764110084.3072863,1447.6605443954468,735.0,1322.0,607.0
6,1764110084.3473175,1454.8476843833923,735.0,1309.0,601.0
6,1764110084.3807867,1459.600308418274,735.0,1306.0,615.0
6,1764110084.4165363,1464.5199446678162,735.0,1310.0,626.0
6,1764110084.443461,1469.317093372345,735.0,1397.0,592.0
6,1764110084.4767935,1474.0308074951172,735.0,1411.0,589.0
6,1764110084.5229063,1481.3179759979248,735.0,1424.0,595.0
6,1764110084.5619104,1486.060371875763,735.0,1431.0,594.0
6,1764110084.5880659,1490.9142761230469,735.0,1417.0,608.0
6,1764110084.6268082,1495.7874207496643,735.0,1402.0,637.0
6,1764110084.6681604,1502.8655200004578,735.0,1395.0,642.0
6,1764110084.707319,1507.714059829712,735.0,1404.0,635.0
6,1764110084.7415755,1512.4392538070679,735.0,1412.0,620.0
