num_points,dataset_name,num_samples,mean_l2,std_l2,median_l2,mae_x,mae_y,rmse_x,rmse_y,original_mean_l2,original_median_l2,sim_rbf_mean_l2,sim_rbf_median_l2,similarity_mean_l2,similarity_median_l2,polynomial_mean_l2,polynomial_median_l2,tps_mean_l2,tps_median_l2,pwa_mean_l2,pwa_median_l2,simtps_mean_l2,simtps_median_l2,simpwa_mean_l2,simpwa_median_l2,orig_improvement_pct,sim_improvement_pct
10,10points_2,1034,43.443604,28.98834,36.81884,29.575613,26.23368,38.769,34.99478,70.96263906072124,59.70190085432837,48.17681195399463,39.16963839384033,52.76382435270504,43.72300524173386,53.05662529758221,43.24736844107852,51.35377198561872,42.08168585299275,69.42341014798231,44.93823310331676,51.35377199235919,42.081685861096325,69.42341014798231,44.93823310331655,38.77961122830956,9.824660965299035
10,10points_3,1034,45.2238,29.150232,39.118805,31.680416,26.359926,40.588314,35.32021,70.96263906072124,59.70190085432837,48.655205248064114,39.192114710530944,53.984493088293554,43.679776529778735,55.759357135663805,44.28185567017955,52.71915225282549,42.034668187663556,67.95067420974635,46.973172392755174,52.719152258386025,42.03466818403521,67.95067420974635,46.973172392755174,36.27097123532479,7.052492269613753
10,10points_4,1034,43.422424,29.387888,36.632553,29.078888,26.69486,38.159477,35.958435,70.96263906072124,59.70190085432837,48.51706290299841,40.254317571698124,52.763766500108574,44.15786761464367,57.221807311548275,45.79755657620137,50.58912718446486,41.75400099776498,71.61882705231602,45.44310017463305,50.58912720629116,41.75400101679302,71.61882705231602,45.44310017463302,38.809456791410206,10.500715174737643
10,10points_5,1034,46.778297,30.84268,39.40601,31.06352,28.920195,40.49691,38.723125,70.96263906072124,59.70190085432837,49.061247285843415,41.19305103623662,52.63791761949873,43.591560857686574,55.94680308517918,44.67648370513008,53.137205015727695,43.13868128122769,123.67425868527245,95.54184926281326,53.13720502392805,43.138681366239396,123.67425868527246,95.54184926281326,34.080386463235676,4.653265026520742
12,12points_1,1034,43.224373,29.050907,36.40226,29.635275,25.876928,38.766705,34.777065,70.96263906072124,59.70190085432837,46.74487067205904,38.51265353548743,52.408276216366275,42.57305531074646,50.38389712439665,38.8401973932704,50.44300887804893,41.350330769497745,57.19224585708397,42.05663669100518,50.443008884176635,41.35033076768584,57.19224585708397,42.056636691005124,39.08854936076526,7.531302916608183
12,12points_2,1034,42.785694,28.500368,37.136047,29.163956,25.92412,38.25344,34.34473,70.96263906072124,59.70190085432837,47.56608594744532,39.08200173313499,52.51054143210645,43.39346082866204,50.80141385412151,40.91481328678252,52.28273643339372,42.283912865210624,61.981600527741215,43.50346456725386,52.28273644874244,42.28391287632486,61.98160052774122,43.50346456725371,39.706732037257474,10.050000394004702
12,12points_3,1034,43.40525,29.109785,35.89385,29.386326,26.406227,38.447933,35.399883,70.96263906072124,59.70190085432837,47.735848871891655,39.58539323278674,52.37741688041315,43.171710487793035,52.689722177072504,43.26978333523577,50.38786451021875,40.934018107299266,68.8954727400326,43.91677734792024,50.38786452407796,40.93401812145258,68.8954727400326,43.91677734792022,38.833657930653565,9.072004426269329
12,12points_4,1034,43.84486,28.74867,37.275486,30.515078,25.874294,39.566776,34.399536,70.96263906072124,59.70190085432837,47.05809587301439,37.693261755333104,52.585517293454586,43.11683450995422,50.38817528136147,39.982216428214585,51.867489595002375,41.48467473303262,58.316985871295635,43.76566455574448,51.86748960262521,41.48467473382489,58.31698587129562,43.76566455574445,38.214163597569744,6.828231649620848
12,12points_5,1034,43.744316,29.071945,37.027042,29.999308,26.21434,39.07993,35.092762,70.96263906072124,59.70190085432837,46.51844853748331,38.19583768922071,52.11524430175803,42.75482892729559,50.795838634171375,41.11271665772615,51.55451730319007,41.852072151166496,64.68691649297904,43.80207683193385,51.55451733329253,41.852072161676446,64.68691649297902,43.80207683193379,38.35584938767128,5.963510227934126
12,12points_6,1034,43.193447,29.132153,37.67394,29.109648,26.397833,38.383247,35.228996,70.96263906072124,59.70190085432837,47.972014681299,40.47142407551014,52.61000064669068,43.47202808220629,49.85805447196017,41.29768105785887,51.38071821194732,42.40308122231732,64.18830834712851,44.31593184467252,51.38071823512211,42.403081233360666,64.18830834712851,44.315931844672534,39.13212968858531,9.961156728580606
14,14points_1,1034,43.39067,28.890558,36.5326,29.85273,25.88932,38.8588,34.74778,70.96263906072124,59.70190085432837,46.63606463247379,38.48561975201256,52.24432412663155,42.43564668934503,50.0869954786288,38.597004165714196,50.8426880988172,41.70915737232395,57.454088711316246,42.11581010658756,50.84268810800371,41.70915738265971,57.45408871131625,42.11581010658764,38.8542036334941,6.958978811103968
14,14points_2,1034,43.008415,28.763966,36.151985,29.15773,26.257057,38.252686,34.839947,70.96263906072124,59.70190085432837,47.15705518344081,39.176846883200824,52.109028665599716,43.362290812200875,48.77661137743288,40.69427330208289,51.15202288399301,42.0437336351707,61.4649540348451,43.29211528656587,51.15202290033962,42.04373369120472,61.4649540348451,43.292115286565775,39.39287519258329,8.797495825671566
14,14points_3,1034,43.586357,28.907185,36.8488,30.19556,25.814096,39.188908,34.635605,70.96263906072124,59.70190085432837,46.32815486668667,37.41968252584012,52.078078545209905,42.5731489469613,50.82000776332227,40.003655450695646,50.802108950327934,41.638144824070245,64.66986296936201,43.852997068357645,50.80210896709534,41.63814480601164,64.66986296936201,43.85299706835748,38.578443962035735,5.918210552259661
14,14points_4,1034,42.869705,28.780104,36.25911,29.277239,25.83278,38.45901,34.453014,70.96263906072124,59.70190085432837,45.79566440259038,37.55388487136406,51.61044724689793,41.68548551826205,50.56535892049263,39.84836578043066,51.641527538965114,41.71930423418026,57.23849691432208,43.04002448834697,51.64152756854953,41.71930422245862,57.23849691432209,43.04002448834673,39.58834427858214,6.3891620321804234
14,14points_5,1034,43.3622,29.146507,36.350227,29.75561,25.873291,38.794468,34.99698,70.96263906072124,59.70190085432837,46.17181295242469,37.43338734661086,51.89589491654077,42.32378836107086,50.276571833146896,39.255707830576064,49.76014528335248,40.375287348378066,63.21141171690646,41.81957212553725,49.760145299045774,40.37528737287892,63.211411716906454,41.819572125537306,38.89432204801501,6.085122246869265
16,16points_1,1034,42.674843,28.959635,35.82158,29.072529,25.723585,38.24688,34.597385,70.96263906072124,59.70190085432837,45.54282414650873,36.96866830476384,51.41478617083558,41.711568290515984,49.08124379689908,38.126325082733445,49.91841031635624,41.32131342674979,55.76323003559261,41.008964339520176,49.91841033817588,41.32131344046242,55.76323003559261,41.008964339520176,39.862942811418435,6.29732864788959
16,16points_2,1034,42.883335,28.695032,35.698143,29.504168,25.653708,38.653423,34.180374,70.96263906072124,59.70190085432837,45.66999986111443,37.74746760748326,51.47579780048262,40.94061027932476,49.544007256468646,38.70883792592416,50.963263551153666,41.80007581845478,57.221443390705076,42.65207986856923,50.96326357026205,41.8000758303018,57.221443390705076,42.652079868569146,39.569137110542044,6.101740214721859
16,16points_3,1034,43.598434,29.010502,36.88907,30.023895,25.927423,38.99744,34.951855,70.96263906072124,59.70190085432837,46.09951069274641,37.644855848123456,51.96470233733993,42.524494600187566,50.15710953520936,39.3774800101805,49.73730379040273,40.47515627251494,63.46639455107977,42.21477186296421,49.73730380403565,40.475156273610224,63.46639455107977,42.2147718629642,38.56142468019556,5.425385664446444
18,18points_1,1034,42.826546,28.840662,36.186634,29.290272,25.767796,38.383823,34.533737,70.96263906072124,59.70190085432837,45.49158156304906,37.35368246579786,51.383663179363616,41.69977356100275,48.94500354765807,38.45677437585218,49.90097420585184,41.07849769969392,56.018212869765925,41.2008584407502,49.90097422575383,41.07849769044766,56.01821286976592,41.200858440750096,39.64916428955488,5.858305550497122
