subject,model,mean_error,variance
subject_010,tps,85.20496297374123,1433.6811794416344
subject_010,pwa,185.14464401077353,14343.596673608994
subject_010,gpr,270.070795313439,30287.1634583204
subject_010,"sim+rbf[thin_plate,s=1.0]",92.77803463119665,1402.2909455069666
subject_010,"sim+rbf[multiquadric,s=0.0]",87.5440501454656,1449.49545761324
subject_010,"sim+rbf[multiquadric,s=1.0]",84.346720560612,1272.8731030955682
subject_010,"sim+rbf[multiquadric,s=2.0]",85.50217179884035,1434.669803127697
subject_010,sim+tps,85.20496298026771,1433.6811798317117
subject_010,sim+pwa,185.1446440107735,14343.596673609
subject_010,sim+gpr,98.39025105960263,1903.522695038876
subject_011,similarity,96.91346812589242,1941.713671127633
subject_011,poly,123.94864632832116,6905.13841930997
subject_011,"rbf[thin_plate,s=1.0]",154.59174487234378,12058.296086149565
subject_011,"rbf[multiquadric,s=0.0]",194.01774876604617,19439.19929641196
subject_011,"rbf[multiquadric,s=1.0]",351.0840706505175,57540.07524366576
subject_011,"rbf[multiquadric,s=2.0]",478.78699115098306,100871.85024541168
subject_011,tps,88.15045377560048,1915.319381041344
subject_011,pwa,190.2637743605389,18811.903703907585
subject_011,gpr,265.10770547643426,19838.476278780352
subject_011,"sim+rbf[thin_plate,s=1.0]",96.71861813765068,2593.8125197746035
subject_011,"sim+rbf[multiquadric,s=0.0]",88.39439036268115,1941.154359125429
subject_011,"sim+rbf[multiquadric,s=1.0]",84.19334725787519,1814.0234801057516
subject_011,"sim+rbf[multiquadric,s=2.0]",85.56805548713437,1834.1711910710976
subject_011,sim+tps,88.15045378482095,1915.3193808072783
subject_011,sim+pwa,190.2637743605389,18811.903703907585
subject_011,sim+gpr,95.8469336004524,2042.9892489997433
subject_012,similarity,77.73438783553229,4602.053091466774
subject_012,poly,106.97085488405912,11894.25677230428
subject_012,"rbf[thin_plate,s=1.0]",99.70357116080308,10237.59482841644
subject_012,"rbf[multiquadric,s=0.0]",121.54575510616564,12266.404197064625
subject_012,"rbf[multiquadric,s=1.0]",207.9203284893652,35768.09751761527
subject_012,"rbf[multiquadric,s=2.0]",303.43286362119187,61101.128167519
subject_012,tps,76.68847860616374,4761.562674429699
subject_012,pwa,150.14852194394234,14157.57585198988
subject_012,gpr,232.83439051251943,19950.298422409447
subject_012,"sim+rbf[thin_plate,s=1.0]",81.28356163264603,5761.764998900908
subject_012,"sim+rbf[multiquadric,s=0.0]",75.91930241366128,4381.665843745854
subject_012,"sim+rbf[multiquadric,s=1.0]",72.07446113637704,4187.1306598648225
subject_012,"sim+rbf[multiquadric,s=2.0]",72.3688279912249,4186.982088028193
subject_012,sim+tps,76.68847861066652,4761.5626741511705
subject_012,sim+pwa,150.14852194394234,14157.57585198988
subject_012,sim+gpr,77.39272077254962,4367.3252981304395
