timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name
2025-11-28T15:42:37.900,11,1412,637,1386.2347826086957,653.4347826086956,1401,647,1415,647,-25,16,-11,10,3,10,33.35,115,1422.227148972669,630.7767841380938,1405.7827713823035,629.1615658871804,1427.6685393404218,633.4819988222199,Liu Jiaqi
2025-11-28T15:42:44.320,9,1389,106,1354.4453781512605,192.01680672268907,1384,149,1428,71,-34,86,-5,43,39,-35,30.26,119,1405.1824741148093,89.27318980266276,1215.0,132.0,1402.182336244954,89.71353124237197,Liu Jiaqi
2025-11-28T15:42:50.736,5,156,821,141.59036144578317,880.433734939759,136,865,69,769,-14,59,-20,44,-87,-52,68.77,83,112.3592012845171,828.4711684784496,163.0,1060.0,112.67765809710329,834.0737999199249,Liu Jiaqi
2025-11-28T15:42:57.133,23,1025,914,1057.2416666666666,990.2416666666668,1045,1007,1034,990,32,76,20,93,9,76,32.08,120,1036.4590492900732,989.7832589441066,1033.8237987876225,993.8196507923176,1030.3097425961587,991.6023061007483,Liu Jiaqi
2025-11-28T15:43:03.538,30,463,169,518.4915254237288,290.39830508474574,478,256,449,233,55,121,15,87,-14,64,46.35,118,452.23113294077757,220.96711106802496,448.6274153572643,221.88943956414798,450.0262386913552,220.3494341910375,Liu Jiaqi
2025-11-28T15:43:09.951,26,1717,475,1637.4639175257732,566.639175257732,1685,540,1742,512,-79,91,-32,65,25,37,37.52,97,1724.8979938942493,496.82651169969466,1730.4929821176013,489.8023740067397,1721.5477187133545,497.3588279762405,Liu Jiaqi
2025-11-28T15:43:16.362,17,282,687,364.0,746.8623853211009,316,704,285,681,82,59,34,17,3,-6,118.89,109,305.43106407565597,694.9908440400238,297.98392209324436,687.3777214606303,308.4983396870608,691.8431609036992,Liu Jiaqi
2025-11-28T15:43:22.757,21,947,763,967.6333333333332,816.7666666666667,954,852,927,815,20,53,7,89,-20,52,34.81,120,931.3304997991972,813.3700470991247,943.8589087569081,855.0651964662627,925.6107301599511,813.3406310161843,Liu Jiaqi
2025-11-28T15:43:29.172,13,1074,428,1092.396551724138,525.5,1074,514,1070,514,18,97,0,86,-4,86,39.98,116,1078.2789024794452,499.8658085380292,1066.1808021234906,491.8310336078676,1080.9008462487786,505.90652171191357,Liu Jiaqi
2025-11-28T15:43:35.582,7,1573,764,1540.7241379310344,838.4827586206897,1595,839,1604,840,-32,74,22,75,31,76,36.22,116,1614.2582380718638,822.616876922094,1631.1199315788385,828.7359800143502,1614.7119782905881,827.1352086770531,Liu Jiaqi
