subject,model,mean_error,variance
subject_007,poly,83.45649616641904,2444.8177318525945
subject_007,"rbf[thin_plate,s=1.0]",79.76060128421587,2629.459466373585
subject_007,"rbf[multiquadric,s=0.0]",81.10286959713652,3019.37748808852
subject_007,"rbf[multiquadric,s=1.0]",103.50718175323516,3789.0089191600023
subject_007,"rbf[multiquadric,s=2.0]",136.00913260618816,8807.94218776029
subject_007,tps,79.62278659136842,2673.1239958039864
subject_007,pwa,110.12988916459123,9950.335166083214
subject_007,gpr,71.79903411410699,2331.091728822494
subject_007,"sim+rbf[thin_plate,s=1.0]",79.69312612159112,2682.1495683702487
subject_007,"sim+rbf[multiquadric,s=0.0]",82.34348085155169,2862.8575821630484
subject_007,"sim+rbf[multiquadric,s=1.0]",77.94588597700809,2508.878479319278
subject_007,"sim+rbf[multiquadric,s=2.0]",81.12682068848598,2730.575412125956
subject_007,sim+tps,79.62278658904559,2673.1239957744415
subject_007,sim+pwa,110.12988916459123,9950.335166083216
subject_007,sim+gpr,75.36968755737155,2374.0637574225098
subject_008,similarity,51.12806657428104,1288.0531049034669
subject_008,poly,54.41316603996092,1405.4766624748322
subject_008,"rbf[thin_plate,s=1.0]",56.230616957587614,1452.0557093060995
subject_008,"rbf[multiquadric,s=0.0]",57.58327796953082,1535.7138204366809
subject_008,"rbf[multiquadric,s=1.0]",80.64749574776472,2532.382628455261
subject_008,"rbf[multiquadric,s=2.0]",114.4404364754358,5613.017219811527
subject_008,tps,56.0217640492882,1448.3386860567502
subject_008,pwa,63.33031437579656,4794.049217663526
subject_008,gpr,52.25832242328809,1116.4189528394886
subject_008,"sim+rbf[thin_plate,s=1.0]",56.101317315344346,1449.4825064804
subject_008,"sim+rbf[multiquadric,s=0.0]",57.69369354335201,1541.5968302505992
subject_008,"sim+rbf[multiquadric,s=1.0]",49.43571199687605,1229.9595939235005
subject_008,"sim+rbf[multiquadric,s=2.0]",48.92712464095154,1222.3635024323808
subject_008,sim+tps,56.02176405332921,1448.3386863068602
subject_008,sim+pwa,63.330314375796576,4794.049217663526
subject_008,sim+gpr,51.28008824365408,1337.130198632716
subject_009,similarity,131.99438412758633,3810.031281607146
subject_009,poly,91.60535779694952,4058.948573012914
subject_009,"rbf[thin_plate,s=1.0]",103.03392681761716,4964.587099967147
subject_009,"rbf[multiquadric,s=0.0]",110.52685613939649,4948.769731655859
subject_009,"rbf[multiquadric,s=1.0]",114.0400398738685,5093.6375264637745
subject_009,"rbf[multiquadric,s=2.0]",149.02665280779007,8531.6450021368
subject_009,tps,102.39064006313798,4577.609783315977
subject_009,pwa,111.8211246476512,10359.61400489818
subject_009,gpr,92.51564400371316,2823.9266322998333
subject_009,"sim+rbf[thin_plate,s=1.0]",103.25344636380652,5145.196326265146
subject_009,"sim+rbf[multiquadric,s=0.0]",110.80280729768086,5429.186453755803
subject_009,"sim+rbf[multiquadric,s=1.0]",97.09966087590344,3645.878668856279
subject_009,"sim+rbf[multiquadric,s=2.0]",101.34969056013504,3686.19760113115
subject_009,sim+tps,102.39064018405617,4577.609794836173
subject_009,sim+pwa,111.8211246476512,10359.61400489818
subject_009,sim+gpr,98.79383179185916,3273.089032046882
subject_010,similarity,100.43208733166875,1991.389097272434
subject_010,poly,107.00593171321646,1978.205499573704
subject_010,"rbf[thin_plate,s=1.0]",100.07284619730834,2070.410874268497
subject_010,"rbf[multiquadric,s=0.0]",103.03756298280094,2073.92219429355
subject_010,"rbf[multiquadric,s=1.0]",122.58135437696944,4055.914747187054
subject_010,"rbf[multiquadric,s=2.0]",146.56953459877144,10145.81928075908
subject_010,tps,99.93308278622732,2056.0766978529855
subject_010,pwa,111.05712119033974,7222.306201671613
subject_010,gpr,100.1141755316562,2340.296519910139
subject_010,"sim+rbf[thin_plate,s=1.0]",99.83244554565955,2030.868101251989
subject_010,"sim+rbf[multiquadric,s=0.0]",102.19882641688416,2133.777889052408
subject_010,"sim+rbf[multiquadric,s=1.0]",88.4701949623538,1834.0211308270127
subject_010,"sim+rbf[multiquadric,s=2.0]",84.3884544028459,1806.0142398642804
subject_010,sim+tps,99.93308280060404,2056.0766982207365
subject_010,sim+pwa,111.0571211903397,7222.306201671618
subject_010,sim+gpr,92.73915333579568,1293.870775396624
subject_011,similarity,108.41247070221031,1906.9749475538167
subject_011,poly,86.74617743895358,1754.378394014774
subject_011,"rbf[thin_plate,s=1.0]",84.55881940403467,1571.2361598017796
subject_011,"rbf[multiquadric,s=0.0]",77.89344162805043,1556.6212121251986
subject_011,"rbf[multiquadric,s=1.0]",116.37426282105052,3300.59267411666
subject_011,"rbf[multiquadric,s=2.0]",168.2352914768152,7935.901698842968
subject_011,tps,83.07153264989182,1521.7138032272635
subject_011,pwa,137.93649538337772,17333.146669163558
subject_011,gpr,76.4120607854695,1499.1657285498186
subject_011,"sim+rbf[thin_plate,s=1.0]",83.2968104352431,1537.51570401451
subject_011,"sim+rbf[multiquadric,s=0.0]",82.76973797388885,1553.502530774572
subject_011,"sim+rbf[multiquadric,s=1.0]",86.27279345552317,1491.083277380068
subject_011,"sim+rbf[multiquadric,s=2.0]",88.47598865420723,1514.2499886916355
subject_011,sim+tps,83.07153265568849,1521.7138029687562
subject_011,sim+pwa,137.93649538337772,17333.146669163558
subject_011,sim+gpr,90.44935931629296,1694.8281085725878
subject_012,similarity,79.13094065360862,3064.4052061145057
subject_012,poly,71.02768274216656,2861.189953973148
subject_012,"rbf[thin_plate,s=1.0]",72.19330112411579,3199.687662837752
subject_012,"rbf[multiquadric,s=0.0]",75.2475995043468,3030.139115797
subject_012,"rbf[multiquadric,s=1.0]",86.44329714855112,2632.784887313635
