subject,model,mean_error,variance
subject_004,"rbf[multiquadric,s=2.0]",329.5580262766339,42571.24158674636
subject_004,tps,101.63010737861998,8112.671292564405
subject_004,pwa,216.65080811508224,28493.42264337135
subject_004,gpr,117.31025276962109,6506.414680036622
subject_004,"sim+rbf[thin_plate,s=1.0]",11698.102974706624,172224223.1938004
subject_004,"sim+rbf[multiquadric,s=0.0]",104.4370922821582,8441.427249638244
subject_004,"sim+rbf[multiquadric,s=1.0]",104.73711516772214,5227.898628476547
subject_004,"sim+rbf[multiquadric,s=2.0]",109.36850752800368,4638.267788086616
subject_004,sim+tps,101.63010738543372,8112.671294278135
subject_004,sim+pwa,216.65080811508224,28493.42264337134
subject_004,sim+gpr,101.95680184776108,7065.909504506221
subject_005,similarity,54.81871973510141,1486.8794592071215
subject_005,poly,63.74162372478291,2216.2350892293007
subject_005,"rbf[thin_plate,s=1.0]",155.17684986468532,21448.250378480006
subject_005,"rbf[multiquadric,s=0.0]",84.25526727831948,2717.2391306607024
subject_005,"rbf[multiquadric,s=1.0]",173.76283423945384,18409.497146860052
subject_005,"rbf[multiquadric,s=2.0]",272.46730160130636,46099.374050245104
subject_005,tps,50.08123053376229,1364.233376370824
subject_005,pwa,130.02980445012273,20232.3548484583
subject_005,gpr,88.11612021557485,14277.504583497128
subject_005,"sim+rbf[thin_plate,s=1.0]",64.66654170415674,2498.5543878078297
subject_005,"sim+rbf[multiquadric,s=0.0]",50.782865165249234,1360.2346520029346
subject_005,"sim+rbf[multiquadric,s=1.0]",48.45442996367854,1207.1180129421862
subject_005,"sim+rbf[multiquadric,s=2.0]",49.3339391777322,1241.7242330695028
subject_005,sim+tps,50.081230536104755,1364.2333765419696
subject_005,sim+pwa,130.0298044501227,20232.3548484583
subject_005,sim+gpr,50.25728515665784,1281.5139917192998
subject_006,similarity,75.83334565405164,951.7839580502596
subject_006,poly,67.88500959039945,2349.116703179018
subject_006,"rbf[thin_plate,s=1.0]",110.6167723761228,9550.621497366885
subject_006,"rbf[multiquadric,s=0.0]",66.18873331777608,2939.2680691028836
subject_006,"rbf[multiquadric,s=1.0]",202.10499997070076,27545.578573868715
subject_006,"rbf[multiquadric,s=2.0]",310.9999532460885,68470.5859141279
subject_006,tps,57.38109104062338,1092.4546716405405
subject_006,pwa,181.2303534648696,28936.90467455418
subject_006,gpr,78.67624084332235,3139.676889382329
subject_006,"sim+rbf[thin_plate,s=1.0]",68.24824346058855,2370.6309517573736
subject_006,"sim+rbf[multiquadric,s=0.0]",56.4529981748468,1033.237592409792
subject_006,"sim+rbf[multiquadric,s=1.0]",53.0300665330727,593.1781425502935
subject_006,"sim+rbf[multiquadric,s=2.0]",54.83490764011973,641.0224628080741
subject_006,sim+tps,57.3810910420554,1092.4546717306616
subject_006,sim+pwa,181.2303534648696,28936.90467455417
subject_006,sim+gpr,52.8678929731287,726.4226565030176
subject_007,similarity,101.72816705732946,2951.3854134495987
subject_007,poly,140.12233887707552,5308.254422418812
subject_007,"rbf[thin_plate,s=1.0]",138.52054620063996,5026.460547630835
subject_007,"rbf[multiquadric,s=0.0]",94.9230095341276,3490.8437338829312
subject_007,"rbf[multiquadric,s=1.0]",188.46510671838732,24158.331472650418
subject_007,"rbf[multiquadric,s=2.0]",279.9266251436055,56647.211125833855
subject_007,tps,85.79669934687514,2204.3825038703753
subject_007,pwa,142.30249564500096,18069.401096284444
subject_007,gpr,97.1915939336171,2280.011985969812
subject_007,"sim+rbf[thin_plate,s=1.0]",97.63967481953614,2281.0282402665166
subject_007,"sim+rbf[multiquadric,s=0.0]",85.66603023911001,2202.842797672355
