target_x,target_y,original_gaze_x,original_gaze_y,sim_rbf_gaze_x,sim_rbf_gaze_y
1092,910,1082.3697478991596,875.7058823529412,1048.9665122045767,900.7428532388432
309,927,366.8050847457627,831.3983050847457,295.5747786937742,962.9733615582338
1316,313,1204.280701754386,329.5964912280702,1306.7110175682153,291.628169566261
607,482,575.4051724137931,487.9051724137931,559.5478523634724,544.6309694967392
1418,939,1505.3805309734514,887.1946902654868,1465.9839065024878,938.0358731048798
549,739,497.1320754716981,724.3679245283018,520.1143833456402,727.9591848023646
1517,275,1545.5416666666667,254.9,1601.143641489028,230.01105527344495
528,116,592.3603603603603,132.32432432432432,582.7339579198319,128.27235713554444
491,351,506.890756302521,344.7394957983193,428.2486224511611,341.97754110577023
517,945,512.4237288135594,870.0932203389831,521.498095202434,908.5857874109092
849,179,754.890756302521,266.6218487394958,811.7797769910818,158.20435414068834
519,116,553.0508474576271,118.98305084745763,549.0696616818414,125.25228123544322
309,690,330.0,617.0666666666667,318.0131755271149,630.2375919596607
570,263,605.8487394957983,290.3697478991597,605.3296586260473,256.9008145286057
1102,920,1144.008849557522,883.6548672566372,1157.7088554607988,909.4692558862808
1445,491,1459.7217391304348,523.1478260869566,1459.2287135619908,525.5002638731187
1443,296,1384.9666666666667,368.4666666666666,1406.554674124027,324.2416809741276
832,966,800.9401709401709,955.8376068376068,821.4942334235005,990.0275710583452
1142,518,1147.6,531.6,1165.1795523426506,527.9479010541995
1814,773,1744.7931034482758,689.4137931034483,1704.3250005696625,745.5361951105696
161,938,174.79646017699116,912.0530973451328,169.86634294380457,985.3496539180958
358,669,367.3613445378151,677.2773109243698,335.4937682063687,730.2651853563028
793,595,828.3529411764706,501.8067226890756,814.4652902720889,529.5322115125539
1552,322,1444.8285714285714,486.8285714285714,1538.8477376525486,366.1963602445535
722,743,826.7372881355932,759.5084745762712,747.3762017731377,793.0514698934535
1318,247,1338.2767857142858,283.66964285714283,1326.9304565901034,229.24355520187407
216,510,219.46067415730337,548.561797752809,218.44207088356808,562.9273161186076
1250,684,1228.9557522123894,629.0176991150443,1218.5250138735116,640.9312990835483
893,512,889.3025210084033,520.0084033613446,892.8177621832295,531.6744839006294
1798,711,1749.921052631579,778.3157894736842,1854.356870302068,736.5181055749873
1370,644,1326.2605042016808,713.3361344537815,1403.9613263001677,692.0289946618118
1800,203,1753.8818181818183,298.6909090909091,1779.0620100484086,202.35217787155284
870,354,846.6666666666666,340.0900900900901,874.7822880796463,325.3655750923591
1474,458,1516.138613861386,374.8415841584159,1511.6948878031335,372.7504979969132
924,834,888.5229357798165,820.0,917.1954274701496,842.7685392971238
606,335,645.1260504201681,340.10084033613447,614.7969327701343,335.64043139215823
599,632,550.563025210084,624.3361344537815,542.3085959581339,648.0601478964925
509,783,464.6833333333333,774.625,508.0981934083926,797.6999054115402
1814,715,1650.8545454545454,830.9636363636364,1731.513409894684,760.1114232209818
715,773,735.0084745762712,768.5593220338983,727.0600999433674,783.809473787454
1763,207,1769.3474576271187,218.77966101694915,1769.9969694793188,240.10112142417543
1197,646,1104.8636363636365,602.1818181818181,1160.9866789367925,619.1534145763557
1542,239,1547.008928571429,162.71428571428572,1545.3413092062883,154.8338286589661
1338,471,1352.372881355932,469.7881355932203,1359.0586369988448,456.9806147746376
1006,833,1024.5,775.5916666666667,1017.9904587253608,806.2946917848749
444,695,456.6140350877193,654.7719298245614,432.7816016573975,704.3057449142069
