timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-26T20:29:35.457,31,1741,132,1709.268907563025,197.54621848739492,1744,168,1769,121,-31,65,3,36,28,-11,37.84,119,1780.3593824716995,134.58942601089518,1741.0,132.0,1785.8174758390328,144.78130609389714,subject_006,72.82286032037713,False
2025-11-26T20:29:48.281,10,163,596,224.34166666666667,594.3333333333334,173,587,139,601,61,-1,10,-9,-24,5,29.48,120,149.8842701658591,605.1391552449983,163.0,596.0,143.629339793981,609.9163763049818,subject_006,61.36430434073397,False
2025-11-26T20:31:24.381,18,426,364,444.70338983050846,373.09322033898303,396,369,398,364,18,9,-30,5,-28,0,38.4,118,400.8998527597312,364.3570719422594,386.2694526660594,364.8837723886322,381.4859120516879,365.4989854001555,subject_006,20.79671722376543,False
2025-11-26T20:32:28.412,20,1215,1060,1146.571428571429,958.6134453781513,1159,1011,1174,1052,-68,-101,-56,-49,-41,-8,41.77,119,1165.6503102308036,1048.4962063473486,1175.6628535597245,1056.393425017388,1175.0827855711675,1044.9709020307632,subject_006,122.31803974003252,False
2025-11-26T20:52:02.631,9,1215,596,1210.1,582.0916666666667,1206,572,1228,555,-4,-13,-9,-24,13,-41,34.76,120,1216.4831105359176,559.7567517009584,1202.2896805249948,557.0261212466784,1219.7939246945832,556.8382176632743,subject_006,14.746244813887744,False
2025-11-26T20:52:28.241,19,1215,132,1167.2991452991453,201.4957264957265,1176,166,1161,158,-47,69,-39,34,-54,26,29.52,117,1166.7069839975943,144.24511522009493,1177.9667375542758,132.0,1168.0763372877493,116.86418114504428,subject_006,84.29132541585093,False
2025-11-26T20:53:32.284,22,1741,596,1704.225,636.2833333333333,1701,597,1706,588,-36,40,-40,1,-35,-8,39.28,120,1711.8036148289173,588.178143820317,1697.320485129805,561.8394703814856,1726.7730882582,559.6597203329908,subject_006,54.54491332328294,False
2025-11-26T20:54:04.299,7,163,1060,127.3191489361702,1036.851063829787,121,1028,154,1027,-35,-23,-42,-32,-9,-33,110.6,47,140.7729408752501,1030.3287542352148,163.0,1060.0,120.7628129349643,1024.81927602383,subject_006,42.532298062199686,False
2025-11-26T21:09:30.301,31,1478,828,1446.436974789916,801.109243697479,1471,815,1483,812,-31,-26,-7,-13,5,-16,41.07,119,1488.4445905772454,813.4974831321139,1478.5970977051925,821.4546322343958,1479.7350732728548,813.1227003026406,subject_006,41.46489280022293,False
2025-11-26T21:09:43.117,28,1478,364,1434.109243697479,371.7142857142857,1467,370,1468,356,-43,7,-11,6,-10,-8,31.7,119,1472.8776322301976,358.4105715557559,1474.413336482055,370.3344657550261,1474.7493743271266,360.490477922176,subject_006,44.563535462179296,False
2025-11-26T21:10:53.586,11,426,828,426.70338983050846,767.4915254237288,429,799,447,801,0,-60,3,-29,21,-27,43.88,118,439.6060314858463,810.7229119145553,434.6241523030727,819.1751826084475,433.91912287482774,814.7396945919807,subject_006,60.5125627684113,False
2025-11-26T21:11:32.020,5,1741,132,1677.6302521008404,153.25210084033614,1721,161,1733,156,-63,21,-20,29,-8,24,34.67,119,1724.7108380714117,142.7374070725241,1725.8114295872967,160.6770480579844,1729.0399642452437,153.7405190862819,subject_006,66.83843758594946,False
2025-11-26T23:33:20.871,2,163,132,313.27966101694915,160.77118644067798,234,126,200,125,150,28,71,-6,37,-7,31.54,118,180.21929266909845,122.42933563341204,163.0,132.0,148.9747570118066,120.05022696174348,subject_006,153.0090117756905,False
2025-11-26T23:34:37.738,1,426,828,519.1754385964912,719.780701754386,484,754,437,782,93,-108,58,-74,11,-46,35.42,114,456.90191322813314,790.4555443965996,469.2996031581492,798.0775095761646,451.1631694984476,796.5601746610383,subject_006,142.80433771570685,False
