target_x,target_y,origin_gaze_x,origin_gaze_y,file_prefix,trial_id,point_num,spread,pred_similarity_x,pred_similarity_y,pred_poly_x,pred_poly_y,pred_rbf_multiquadric_s0.0_x,pred_rbf_multiquadric_s0.0_y,pred_rbf_multiquadric_s1.0_x,pred_rbf_multiquadric_s1.0_y,pred_rbf_multiquadric_s2.0_x,pred_rbf_multiquadric_s2.0_y,pred_rbf_thin_plate_s1.0_x,pred_rbf_thin_plate_s1.0_y,pred_tps_x,pred_tps_y,pred_sim_rbf_multiquadric_s0.0_x,pred_sim_rbf_multiquadric_s0.0_y,pred_sim_rbf_multiquadric_s1.0_x,pred_sim_rbf_multiquadric_s1.0_y,pred_sim_rbf_multiquadric_s2.0_x,pred_sim_rbf_multiquadric_s2.0_y,pred_sim_rbf_thin_plate_s1.0_x,pred_sim_rbf_thin_plate_s1.0_y,pred_sim_tps_x,pred_sim_tps_y,pred_pwa_x,pred_pwa_y,pred_sim_pwa_x,pred_sim_pwa_y
747.0,427.0,742.9728096676738,442.9583081570997,11_2,95,1,47.437639165553044,745.9771623010555,442.1472170966486,739.0748190480812,448.0927469586233,746.999970312205,427.00014775670905,752.718563515233,427.50336729943837,752.4445710201046,427.3963216224267,763.6379663897426,456.72400873578925,763.6379663897426,456.72400873578925,747.000721871368,427.0002444403986,752.7185645345456,427.50336717711394,752.4445731080481,427.39632137598306,763.637965976707,456.72400963481465,763.637965976707,456.72400963481465,745.9771623010555,442.1472170966486,752.4445731080481,427.39632137598306
704.0,358.0,698.431707317073,394.1640243902439,10_2,10,1,63.06691485651285,701.4640152956603,393.8862130940546,694.7535447754036,399.74950487560005,704.000554973323,357.9994736089939,695.6638143046873,376.08849247058976,695.4901788324642,377.6937759509952,705.0260405485221,355.45967248823587,705.0260405485221,355.45967248823587,704.0006974245665,357.99992159014835,695.6638169713545,376.088491606038,695.4901843897441,377.69377413471045,705.0260400678275,355.4596721232523,705.0260400678275,355.4596721232523,701.4640152956603,393.8862130940546,695.4901843897441,377.69377413471045
576.0,461.0,564.6573913043478,435.6240579710145,1_4,25,5,100.60845524982575,568.7380318265772,435.77343571002854,560.6601322647488,440.00380275285994,576.0016295855978,460.9997903928895,572.9137541443317,453.1687331068558,572.0745718989695,449.63145677401894,575.3342481499651,460.5640898571153,575.3342481499651,460.5640898571153,576.0009712797022,460.99999821002854,572.9137572060835,453.16873124989667,572.0745779309394,449.6314531284548,575.3342484157896,460.5640830975331,575.3342484157896,460.5640830975331,568.7380318265772,435.77343571002854,572.0745779309394,449.6314531284548
683.0,614.0,690.5550724637683,620.1692753623187,5_1,83,5,83.87735537112978,694.7958581391981,618.5200474357932,685.7962302338285,619.5028614008233,682.9995304715808,614.0011845420062,693.0163920328555,629.9845835801165,692.5133366326177,628.6288432606483,616.2360195291217,428.35885186893336,616.2360195291217,428.35885186893336,683.0009362641981,614.0010044670432,693.0163927417157,629.9845838872495,692.5133380068596,628.6288438547056,616.2360191289595,428.35884929660256,616.2360191289595,428.35884929660256,694.7958581391981,618.5200474357932,692.5133380068596,628.6288438547056
576.0,666.0,577.6118181818182,652.1530303030303,13_3,3,1,49.833023283542474,582.7222003283903,650.8833371711188,575.8615706278205,646.8747368970419,576.0012224786932,666.0006865530303,576.213010610022,665.3557125965016,576.328917184123,665.4739108977873,575.9326112144644,666.1709510355284,575.9326112144644,666.1709510355284,576.0019854846403,666.0006467414313,576.2130106925877,665.3557126355062,576.3289171829854,665.4739107241006,575.9326119962141,666.1709496093207,575.9326119962141,666.1709496093207,582.7222003283903,650.8833371711188,576.3289171829854,665.4739107241006
448.0,358.0,435.1201201201202,391.8972972972973,8_2,90,3,127.49038979703764,439.7856670385321,392.98427898532196,430.22887778165955,396.72216473012475,448.0022001982452,358.0003246410473,447.6850718608157,357.8969274468967,447.59586242670093,358.439217723066,447.99949140555873,358.0317310436352,447.99949140555873,358.0317310436352,448.0005107885321,358.00161296969696,447.68508093411435,357.89691651813433,447.59587908174433,358.43919872185603,447.99949035701354,358.0317309582834,447.99949035701354,358.0317309582834,439.7856670385321,392.98427898532196,447.59587908174433,358.43919872185603
533.0,427.0,529.2816816816818,424.72132132132134,11_4,37,3,107.86380812481708,533.5273840698742,425.1202632547846,525.1627750496294,429.16031233056236,533.0028730879318,427.00012991507134,532.4993027570468,427.2840111745223,531.7230372187515,427.0684671570148,544.9560137937557,436.4289495714434,544.9560137937557,436.4289495714434,533.0013830933117,426.9988032938471,532.4993032154812,427.2840108284471,531.7230381884615,427.06846641956224,544.9560141834759,436.42894772305397,544.9560141834759,436.42894772305397,533.5273840698742,425.1202632547846,531.7230381884615,427.06846641956224
704.0,358.0,714.9783132530121,358.2268072289158,11_1,64,1,64.0426660542049,717.7229204743917,358.0886157278721,711.7314559897932,363.928781567046,703.9996755576996,357.9997564476658,704.7378000618997,356.77119216680745,705.357971671186,356.7835054870953,704.1068060851959,357.7565652650524,704.1068060851959,357.7565652650524,704.0007525056417,358.0006030325596,704.7378061485174,356.7711900378319,705.3579866043231,356.7835001096525,704.1068057387884,357.75656635806007,704.1068057387884,357.75656635806007,717.7229204743917,358.0886157278721,705.3579866043231,356.7835001096525
832.0,666.0,829.3165217391303,697.3084057971014,9_4,97,5,165.2423636389589,833.0861647789692,694.4655375312739,820.0295441785697,696.4294157182946,832.0010920516303,666.0009106799139,833.0265468755048,666.3556872068825,834.3098496086096,667.7867587964806,832.0281654349616,666.0199593707098,832.0281654349616,666.0199593707098,832.0004714195942,666.0004496406489,833.0265627614139,666.3557040678295,834.3099396836736,667.7868574412039,832.0281661217426,666.0199563335352,832.0281661217426,666.0199563335352,833.0861647789692,694.4655375312739,834.3099396836736,667.7868574412039
683.0,410.0,674.3588588588589,427.0222222222223,3_4,118,4,84.97775693022788,677.7100892907681,426.66263046243637,670.4096318800316,432.176508260844,683.0005214565151,410.0004631890192,683.5428243066269,414.3340655053648,684.0075940620427,414.072550682732,682.6571331971043,463.25517958535096,682.6571331971043,463.25517958535096,683.0007387048306,409.99954452493637,683.5428251667934,414.33406523982364,684.0075955463672,414.0725503033665,682.6571331864895,463.25517996528595,682.6571331864895,463.25517996528595,677.7100892907681,426.66263046243637,684.0075955463672,414.0725503033665
